row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,walk_leisure,walk_public_service,walk_school,walk_shopping,walk_work,walk_total,access_boat,access_bus,access_train,access_total,drive_leisure,drive_public_service,drive_school,drive_shopping,drive_work,drive_total,source
536,1183,SAN PA PAO,สันป่าเปา,1175,SAN SAI,สันทราย,1005,Chiang Mai,เชียงใหม่,1.0,6.0,10.0,6.0,19.0,7.0,0.0,0.0,0.0,0.0,1.0,68.0,80.0,47.0,84.0,47.0,baania
223,4702,BUENG,บึง,4696,SI RACHA,ศรีราชา,4616,Chon Buri,ชลบุรี,12.0,18.0,10.0,32.0,33.0,24.0,0.0,0.0,0.0,0.0,71.0,84.0,69.0,91.0,94.0,85.0,baania
166,4561,BANG SAMAK,บางสมัคร,4552,BANG PAKONG,บางปะกง,4510,Chachoengsao,ฉะเชิงเทรา,9.0,32.0,8.0,24.0,18.0,21.0,0.0,0.0,0.0,0.0,65.0,78.0,48.0,69.0,61.0,69.0,baania
577,3930,KHUHA SAWAN,คูหาสวรรค์,3928,PHASI CHAROEN,ภาษีเจริญ,3781,Bangkok,กรุงเทพมหานคร,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,24.0,82.0,100.0,70.0,100.0,80.0,90.0,86.0,baania
269,2499,MAE CHAN,แม่จัน,2491,MAE CHAN,แม่จัน,2411,Chiang Rai,เชียงราย,0.0,1.0,0.0,28.0,21.0,16.0,0.0,0.0,0.0,0.0,5.0,68.0,55.0,80.0,79.0,61.0,baania
646,3461,WANG WA,วังหว้า,3448,KLAENG,แกลง,3431,Rayong,ระยอง,1.0,28.0,45.0,38.0,47.0,29.0,0.0,0.0,0.0,0.0,78.0,96.0,99.0,99.0,100.0,94.0,baania
615,3799,RAM INTHRA,รามอินทรา,3797,KHAN NA YAO,คันนายาว,3781,Bangkok,กรุงเทพมหานคร,89.0,94.0,89.0,97.0,99.0,95.0,1.0,94.0,5.0,39.0,99.0,61.0,99.0,90.0,84.0,89.0,baania
697,2619,KO KAEO,เกาะแก้ว,2617,MUEANG PHUKET,เมืองภูเก็ต,2616,Phuket,ภูเก็ต,59.0,32.0,19.0,54.0,54.0,49.0,0.0,0.0,0.0,0.0,89.0,86.0,79.0,86.0,87.0,86.0,baania
581,3841,TALAT PHLU,ตลาดพลู,3839,THON BURI,ธนบุรี,3781,Bangkok,กรุงเทพมหานคร,96.0,100.0,96.0,100.0,100.0,99.0,100.0,99.0,89.0,97.0,100.0,78.0,100.0,99.0,99.0,97.0,baania
97,9134,BO YANG,บ่อยาง,9129,MUEANG SONGKHLA,เมืองสงขลา,9128,Songkhla,สงขลา,50.0,61.0,43.0,74.0,45.0,62.0,0.0,0.0,0.0,0.0,93.0,98.0,99.0,100.0,93.0,97.0,baania
