row_number,transction_year,transction_month,listing_province_name_th,listing_province_name_en,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,total_listing,median_rent_price_sqm
1224,2021,4,สมุทรปราการ,SAMUT PRAKAN,บางพลี,BANG PHLI,คอนโด,Condo,177,345
1215,2021,8,กรุงเทพมหานคร,BANGKOK,คลองสาน,KHLONG SAN,คอนโด,Condo,223,456
1356,2021,1,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,คอนโด,Condo,461,465
572,2020,6,กรุงเทพมหานคร,BANGKOK,พระโขนง,PHRA KHANONG,คอนโด,Condo,133,448
879,2021,9,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,คอนโด,Condo,646,522
178,2020,8,กรุงเทพมหานคร,BANGKOK,ยานนาวา,YAN NAWA,คอนโด,Condo,119,368
1160,2019,6,กรุงเทพมหานคร,BANGKOK,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,19,299
998,2021,6,กรุงเทพมหานคร,BANGKOK,สาทร,SATHON,คอนโด,Condo,428,591
1121,2021,6,กรุงเทพมหานคร,BANGKOK,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,24,177
696,2020,1,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คอนโด,Condo,190,642
1026,2020,7,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,คอนโด,Condo,201,410
511,2019,11,กรุงเทพมหานคร,BANGKOK,บางนา,BANG NA,คอนโด,Condo,491,425
580,2020,9,กรุงเทพมหานคร,BANGKOK,สวนหลวง,SUAN LUANG,คอนโด,Condo,121,325
903,2022,1,กรุงเทพมหานคร,BANGKOK,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,13,303
1019,2021,7,กรุงเทพมหานคร,BANGKOK,บางกอกใหญ่,BANGKOK YAI,คอนโด,Condo,12,339
745,2019,11,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คอนโด,Condo,2693,653
462,2021,11,กรุงเทพมหานคร,BANGKOK,คันนายาว,KHAN NA YAO,คอนโด,Condo,14,300
1229,2019,4,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,คอนโด,Condo,133,412
765,2021,4,สมุทรปราการ,SAMUT PRAKAN,พระประแดง,PHRA PRADAENG,คอนโด,Condo,15,268
1334,2020,10,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,คอนโด,Condo,144,631
480,2020,6,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,คอนโด,Condo,108,561
286,2019,4,สมุทรปราการ,SAMUT PRAKAN,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,95,306
819,2021,3,กรุงเทพมหานคร,BANGKOK,ลาดพร้าว,LAT PHRAO,คอนโด,Condo,14,295
1371,2021,7,กรุงเทพมหานคร,BANGKOK,คันนายาว,KHAN NA YAO,คอนโด,Condo,14,323
422,2021,9,กรุงเทพมหานคร,BANGKOK,คลองสาน,KHLONG SAN,คอนโด,Condo,198,438
632,2019,7,กรุงเทพมหานคร,BANGKOK,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,11,323
43,2021,4,กรุงเทพมหานคร,BANGKOK,ดินแดง,DIN DAENG,คอนโด,Condo,150,463
1249,2020,9,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,คอนโด,Condo,235,404
368,2021,6,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,คอนโด,Condo,91,315
106,2021,6,สมุทรปราการ,SAMUT PRAKAN,บางพลี,BANG PHLI,คอนโด,Condo,178,418
5,2021,11,กรุงเทพมหานคร,BANGKOK,พญาไท,PHAYA THAI,คอนโด,Condo,166,506
1235,2021,2,สมุทรปราการ,SAMUT PRAKAN,บางพลี,BANG PHLI,คอนโด,Condo,174,376
455,2019,5,นนทบุรี,NONTHABURI,ปากเกร็ด,PAK KRET,คอนโด,Condo,18,279
16,2021,5,กรุงเทพมหานคร,BANGKOK,จอมทอง,CHOM THONG,คอนโด,Condo,25,343
1227,2020,2,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,50,289
1297,2019,2,กรุงเทพมหานคร,BANGKOK,พระโขนง,PHRA KHANONG,คอนโด,Condo,57,513
349,2020,4,กรุงเทพมหานคร,BANGKOK,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,18,291
931,2021,1,กรุงเทพมหานคร,BANGKOK,ประเวศ,PRAWET,คอนโด,Condo,44,247
