row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest
2017,2017,12,กรุงเทพมหานคร,Bangkok,คลองสามวา,KHLONG SAM WA,บ้านแฝด,Twin house,148,1053
2211,2018,11,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,ทาวน์โฮม,Townhome,130,1394
2349,2017,5,นครปฐม,Nakhon Pathom,นครชัยศรี,NAKHON CHAI SI,คอนโด,Condo,112,7071
2930,2019,5,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,376,3175
3301,2016,11,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,คอนโด,Condo,251,2606
642,2016,12,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,คอนโด,Condo,841,4029
1159,2020,7,นนทบุรี,Nonthaburi,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,44,337
3334,2017,6,กรุงเทพมหานคร,Bangkok,วังทองหลาง,WANG THONGLANG,ทาวน์โฮม,Townhome,133,961
3140,2017,7,กรุงเทพมหานคร,Bangkok,พระโขนง,PHRA KHANONG,บ้าน,Detached House,183,883
2341,2019,7,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,THUNG KHRU,ทาวน์โฮม,Townhome,212,1233
982,2017,8,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,บ้าน,Detached House,988,17155
2620,2017,2,กรุงเทพมหานคร,Bangkok,ดอนเมือง,DON MUEANG,บ้าน,Detached House,63,224
326,2019,11,กรุงเทพมหานคร,Bangkok,สาทร,SATHON,คอนโด,Condo,50,85
1526,2017,7,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,บ้านแฝด,Twin house,671,18165
3376,2020,6,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,โฮมออฟฟิศ,Home office,32,76
388,2017,1,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,3529,38709
835,2018,12,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,บ้านแฝด,Twin house,174,2044
